"";"education";"ocupation";"area";"age group";"recomendation";"firma";"score";"detractor";"neutral";"promoter";"total"
"512";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";2;"Chaber";"Detractor";1;0;0;1
"513";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";5;"Chaber";"Detractor";1;0;0;1
"514";"Wyższe";"Właściciel";"więcej niż 250 ha";"mniej niż 30";6;"Chaber";"Detractor";1;0;0;1
"515";"Wyższe";"Właściciel";"więcej niż 250 ha";"powyżej 60";10;"Chaber";"Promoter";0;0;1;1
"516";"Wyższe";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"517";"Wyższe rolnicze";"Pracownik techniczny";"mniej niż 25 ha";"mniej niż 30";6;"Chaber";"Detractor";1;0;0;1
"518";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"519";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"520";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";8;"Chaber";"Neutral";0;1;0;1
"521";"Wyższe rolnicze";"Główny agronom";"50.01 - 100 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"522";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";2;"Chaber";"Detractor";1;0;0;1
"523";"Średnie techniczne";"Główny agronom";"więcej niż 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"524";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";1;"Chaber";"Detractor";1;0;0;1
"525";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";5;"Chaber";"Detractor";1;0;0;1
"526";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";3;"Chaber";"Detractor";1;0;0;1
"527";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";6;"Chaber";"Detractor";1;0;0;1
"528";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";7;"Chaber";"Neutral";0;1;0;1
"529";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";2;"Chaber";"Detractor";1;0;0;1
"530";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";9;"Chaber";"Promoter";0;0;1;1
"531";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";2;"Chaber";"Detractor";1;0;0;1
"532";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";4;"Chaber";"Detractor";1;0;0;1
"533";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"534";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";2;"Chaber";"Detractor";1;0;0;1
"536";"Średnie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";0;"Chaber";"Detractor";1;0;0;1
"537";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"31 - 40";4;"Chaber";"Detractor";1;0;0;1
"538";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";7;"Chaber";"Neutral";0;1;0;1
"539";"Wyższe rolnicze";"Inna";"więcej niż 250 ha";"51 - 60";8;"Chaber";"Neutral";0;1;0;1
"540";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"543";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";10;"Chaber";"Promoter";0;0;1;1
"544";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";9;"Chaber";"Promoter";0;0;1;1
"545";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"546";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"41 - 50";1;"Chaber";"Detractor";1;0;0;1
"547";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";10;"Chaber";"Promoter";0;0;1;1
"548";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";8;"Chaber";"Neutral";0;1;0;1
"549";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";2;"Chaber";"Detractor";1;0;0;1
"550";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"41 - 50";4;"Chaber";"Detractor";1;0;0;1
"551";"Średnie techniczne";"Właściciel";"25.01 - 50 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"552";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";6;"Chaber";"Detractor";1;0;0;1
"553";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"554";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"555";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"556";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"powyżej 60";9;"Chaber";"Promoter";0;0;1;1
"557";"Wyższe rolnicze";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";3;"Chaber";"Detractor";1;0;0;1
"558";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";8;"Chaber";"Neutral";0;1;0;1
"559";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";3;"Chaber";"Detractor";1;0;0;1
"560";"Wyższe";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";2;"Chaber";"Detractor";1;0;0;1
"561";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"41 - 50";3;"Chaber";"Detractor";1;0;0;1
"562";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"powyżej 60";0;"Chaber";"Detractor";1;0;0;1
"563";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"564";"Wyższe";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";1;"Chaber";"Detractor";1;0;0;1
"565";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"566";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"powyżej 60";6;"Chaber";"Detractor";1;0;0;1
"567";"Wyższe rolnicze";"Właściciel";"25.01 - 50 ha";"powyżej 60";4;"Chaber";"Detractor";1;0;0;1
"569";"Wyższe";"Główny agronom";"100.01 - 250 ha";"powyżej 60";3;"Chaber";"Detractor";1;0;0;1
"570";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"41 - 50";10;"Chaber";"Promoter";0;0;1;1
"571";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";9;"Chaber";"Promoter";0;0;1;1
"572";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"powyżej 60";8;"Chaber";"Neutral";0;1;0;1
"573";"Średnie techniczne";"Agronom ekspert";"mniej niż 25 ha";"powyżej 60";3;"Chaber";"Detractor";1;0;0;1
"574";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"575";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";10;"Chaber";"Promoter";0;0;1;1
"576";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";5;"Chaber";"Detractor";1;0;0;1
"577";"Wyższe";"Główny agronom";"więcej niż 250 ha";"31 - 40";0;"Chaber";"Detractor";1;0;0;1
"578";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"mniej niż 30";9;"Chaber";"Promoter";0;0;1;1
"579";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"powyżej 60";10;"Chaber";"Promoter";0;0;1;1
"580";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";1;"Chaber";"Detractor";1;0;0;1
"581";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Chaber";"Detractor";1;0;0;1
"582";"Średnie techniczne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";6;"Chaber";"Detractor";1;0;0;1
"583";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"31 - 40";8;"Chaber";"Neutral";0;1;0;1
"584";"Wyższe";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";7;"Chaber";"Neutral";0;1;0;1
"585";"Wyższe rolnicze";"Właściciel";"więcej niż 250 ha";"powyżej 60";7;"Chaber";"Neutral";0;1;0;1
"586";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"51 - 60";3;"Chaber";"Detractor";1;0;0;1
"587";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"mniej niż 30";9;"Chaber";"Promoter";0;0;1;1
"588";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";4;"Chaber";"Detractor";1;0;0;1
"589";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"590";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"591";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"mniej niż 30";5;"Dzwonek";"Detractor";1;0;0;1
"592";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";6;"Dzwonek";"Detractor";1;0;0;1
"593";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"594";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"mniej niż 30";9;"Dzwonek";"Promoter";0;0;1;1
"595";"Wyższe";"Główny agronom";"100.01 - 250 ha";"41 - 50";7;"Dzwonek";"Neutral";0;1;0;1
"596";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"597";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"powyżej 60";4;"Dzwonek";"Detractor";1;0;0;1
"598";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";3;"Dzwonek";"Detractor";1;0;0;1
"599";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";4;"Dzwonek";"Detractor";1;0;0;1
"600";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"601";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"41 - 50";2;"Dzwonek";"Detractor";1;0;0;1
"602";"Średnie ogólne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"mniej niż 30";6;"Dzwonek";"Detractor";1;0;0;1
"603";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"604";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"605";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"606";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"607";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"powyżej 60";4;"Dzwonek";"Detractor";1;0;0;1
"608";"Średnie ogólne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";6;"Dzwonek";"Detractor";1;0;0;1
"609";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";1;"Dzwonek";"Detractor";1;0;0;1
"610";"Średnie ogólne";"Główny agronom";"więcej niż 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"611";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"powyżej 60";8;"Dzwonek";"Neutral";0;1;0;1
"612";"Średnie ogólne";"Dyrektor/wicedyrektor";"50.01 - 100 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"613";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"614";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";5;"Dzwonek";"Detractor";1;0;0;1
"615";"Średnie techniczne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"616";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";0;"Dzwonek";"Detractor";1;0;0;1
"617";"Średnie ogólne";"Pracownik techniczny";"mniej niż 25 ha";"51 - 60";10;"Dzwonek";"Promoter";0;0;1;1
"618";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"mniej niż 30";3;"Dzwonek";"Detractor";1;0;0;1
"619";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"powyżej 60";2;"Dzwonek";"Detractor";1;0;0;1
"620";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";0;"Dzwonek";"Detractor";1;0;0;1
"621";"Wyższe";"Główny agronom";"więcej niż 250 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"622";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"623";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"31 - 40";0;"Dzwonek";"Detractor";1;0;0;1
"624";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"powyżej 60";4;"Dzwonek";"Detractor";1;0;0;1
"625";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";10;"Dzwonek";"Promoter";0;0;1;1
"626";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"627";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";8;"Dzwonek";"Neutral";0;1;0;1
"628";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"629";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";7;"Dzwonek";"Neutral";0;1;0;1
"630";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"631";"Średnie techniczne";"Agronom ekspert";"100.01 - 250 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"632";"Średnie techniczne";"Agronom ekspert";"25.01 - 50 ha";"31 - 40";9;"Dzwonek";"Promoter";0;0;1;1
"633";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"634";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"powyżej 60";3;"Dzwonek";"Detractor";1;0;0;1
"635";"Średnie ogólne";"Główny agronom";"100.01 - 250 ha";"51 - 60";3;"Dzwonek";"Detractor";1;0;0;1
"636";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"637";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";9;"Dzwonek";"Promoter";0;0;1;1
"638";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"639";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"31 - 40";5;"Dzwonek";"Detractor";1;0;0;1
"640";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"powyżej 60";2;"Dzwonek";"Detractor";1;0;0;1
"641";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"642";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";9;"Dzwonek";"Promoter";0;0;1;1
"643";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"644";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"645";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"646";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"647";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"31 - 40";1;"Dzwonek";"Detractor";1;0;0;1
"648";"Średnie ogólne";"Właściciel";"100.01 - 250 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
"649";"Wyższe rolnicze";"Właściciel";"mniej niż 25 ha";"41 - 50";3;"Dzwonek";"Detractor";1;0;0;1
"650";"Średnie ogólne";"Właściciel";"50.01 - 100 ha";"powyżej 60";10;"Dzwonek";"Promoter";0;0;1;1
"651";"Średnie ogólne";"Agronom ekspert";"50.01 - 100 ha";"51 - 60";2;"Dzwonek";"Detractor";1;0;0;1
"652";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";5;"Dzwonek";"Detractor";1;0;0;1
"653";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";3;"Dzwonek";"Detractor";1;0;0;1
"654";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";10;"Dzwonek";"Promoter";0;0;1;1
"655";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"31 - 40";6;"Dzwonek";"Detractor";1;0;0;1
"656";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";6;"Dzwonek";"Detractor";1;0;0;1
"657";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"658";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";6;"Dzwonek";"Detractor";1;0;0;1
"659";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"660";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";1;"Dzwonek";"Detractor";1;0;0;1
"661";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"662";"Średnie ogólne";"Pracownik techniczny";"100.01 - 250 ha";"mniej niż 30";3;"Dzwonek";"Detractor";1;0;0;1
"663";"Średnie ogólne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";1;"Dzwonek";"Detractor";1;0;0;1
"664";"Średnie techniczne";"Właściciel";"50.01 - 100 ha";"41 - 50";5;"Dzwonek";"Detractor";1;0;0;1
"665";"Średnie ogólne";"Główny agronom";"mniej niż 25 ha";"31 - 40";2;"Dzwonek";"Detractor";1;0;0;1
"666";"Średnie ogólne";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";8;"Dzwonek";"Neutral";0;1;0;1
"667";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"668";"Średnie ogólne";"Właściciel";"25.01 - 50 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"669";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";10;"Dzwonek";"Promoter";0;0;1;1
"671";"Wyższe rolnicze";"Pracownik techniczny";"25.01 - 50 ha";"mniej niż 30";4;"Dzwonek";"Detractor";1;0;0;1
"672";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";2;"Dzwonek";"Detractor";1;0;0;1
"673";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";0;"Dzwonek";"Detractor";1;0;0;1
"674";"Wyższe rolnicze";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"mniej niż 30";7;"Dzwonek";"Neutral";0;1;0;1
"675";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";9;"Dzwonek";"Promoter";0;0;1;1
"676";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";4;"Dzwonek";"Detractor";1;0;0;1
"677";"Średnie techniczne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";4;"Dzwonek";"Detractor";1;0;0;1
"678";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"41 - 50";2;"Dzwonek";"Detractor";1;0;0;1
"680";"Średnie techniczne";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";10;"Dzwonek";"Promoter";0;0;1;1
"681";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"682";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";8;"Dzwonek";"Neutral";0;1;0;1
"683";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"684";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
"685";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";7;"Dzwonek";"Neutral";0;1;0;1
"686";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"powyżej 60";5;"Dzwonek";"Detractor";1;0;0;1
"687";"Wyższe";"Pracownik techniczny";"25.01 - 50 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"688";"Średnie techniczne";"Właściciel";"mniej niż 25 ha";"powyżej 60";7;"Dzwonek";"Neutral";0;1;0;1
"689";"Średnie techniczne";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"powyżej 60";5;"Dzwonek";"Detractor";1;0;0;1
"690";"Średnie ogólne";"Główny agronom";"50.01 - 100 ha";"mniej niż 30";9;"Dzwonek";"Promoter";0;0;1;1
"691";"Średnie ogólne";"Agronom ekspert";"mniej niż 25 ha";"51 - 60";8;"Dzwonek";"Neutral";0;1;0;1
"693";"Wyższe";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"powyżej 60";0;"Dzwonek";"Detractor";1;0;0;1
"694";"Wyższe";"Dyrektor/wicedyrektor";"25.01 - 50 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
"697";"Średnie ogólne";"Właściciel";"więcej niż 250 ha";"51 - 60";7;"Dzwonek";"Neutral";0;1;0;1
"699";"Średnie techniczne";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";7;"Dzwonek";"Neutral";0;1;0;1
"700";"Wyższe rolnicze";"Agronom ekspert";"25.01 - 50 ha";"powyżej 60";6;"Dzwonek";"Detractor";1;0;0;1
"701";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"mniej niż 30";10;"Dzwonek";"Promoter";0;0;1;1
"702";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"41 - 50";4;"Dzwonek";"Detractor";1;0;0;1
"703";"Inne";"Pracownik techniczny";"50.01 - 100 ha";"mniej niż 30";2;"Dzwonek";"Detractor";1;0;0;1
"704";"Średnie ogólne";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";3;"Dzwonek";"Detractor";1;0;0;1
"705";"Średnie ogólne";"Pracownik techniczny";"25.01 - 50 ha";"powyżej 60";5;"Dzwonek";"Detractor";1;0;0;1
"706";"Średnie ogólne";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";6;"Dzwonek";"Detractor";1;0;0;1
"707";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"mniej niż 30";3;"Dzwonek";"Detractor";1;0;0;1
"708";"Wyższe rolnicze";"Pracownik techniczny";"więcej niż 250 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"709";"Średnie techniczne";"Główny agronom";"25.01 - 50 ha";"powyżej 60";7;"Dzwonek";"Neutral";0;1;0;1
"710";"Wyższe";"Właściciel";"więcej niż 250 ha";"mniej niż 30";1;"Dzwonek";"Detractor";1;0;0;1
"711";"Wyższe";"Właściciel";"więcej niż 250 ha";"powyżej 60";0;"Dzwonek";"Detractor";1;0;0;1
"712";"Wyższe";"Dyrektor/wicedyrektor";"mniej niż 25 ha";"51 - 60";9;"Dzwonek";"Promoter";0;0;1;1
"713";"Wyższe rolnicze";"Pracownik techniczny";"mniej niż 25 ha";"mniej niż 30";2;"Dzwonek";"Detractor";1;0;0;1
"714";"Wyższe";"Główny agronom";"więcej niż 250 ha";"powyżej 60";9;"Dzwonek";"Promoter";0;0;1;1
"715";"Wyższe";"Dyrektor/wicedyrektor";"więcej niż 250 ha";"51 - 60";3;"Dzwonek";"Detractor";1;0;0;1
"716";"Średnie techniczne";"Dyrektor/wicedyrektor";"100.01 - 250 ha";"51 - 60";10;"Dzwonek";"Promoter";0;0;1;1
"718";"Średnie techniczne";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";5;"Dzwonek";"Detractor";1;0;0;1
"720";"Średnie ogólne";"Właściciel";"mniej niż 25 ha";"powyżej 60";2;"Dzwonek";"Detractor";1;0;0;1
"721";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";8;"Dzwonek";"Neutral";0;1;0;1
"722";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";10;"Dzwonek";"Promoter";0;0;1;1
"723";"Średnie ogólne";"Pracownik techniczny";"więcej niż 250 ha";"powyżej 60";8;"Dzwonek";"Neutral";0;1;0;1
"724";"Średnie techniczne";"Właściciel";"więcej niż 250 ha";"51 - 60";1;"Dzwonek";"Detractor";1;0;0;1
"725";"Średnie techniczne";"Właściciel";"100.01 - 250 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
"726";"Wyższe rolnicze";"Agronom ekspert";"więcej niż 250 ha";"31 - 40";7;"Dzwonek";"Neutral";0;1;0;1
"727";"Wyższe rolnicze";"Agronom ekspert";"100.01 - 250 ha";"powyżej 60";7;"Dzwonek";"Neutral";0;1;0;1
"728";"Wyższe";"Pracownik techniczny";"100.01 - 250 ha";"powyżej 60";6;"Dzwonek";"Detractor";1;0;0;1
"729";"Wyższe";"Agronom ekspert";"więcej niż 250 ha";"41 - 50";3;"Dzwonek";"Detractor";1;0;0;1
"730";"Wyższe rolnicze";"Główny agronom";"100.01 - 250 ha";"41 - 50";1;"Dzwonek";"Detractor";1;0;0;1
"731";"Wyższe rolnicze";"Główny agronom";"więcej niż 250 ha";"mniej niż 30";3;"Dzwonek";"Detractor";1;0;0;1
"732";"Średnie techniczne";"Agronom ekspert";"50.01 - 100 ha";"41 - 50";8;"Dzwonek";"Neutral";0;1;0;1
"733";"Wyższe rolnicze";"Właściciel";"100.01 - 250 ha";"31 - 40";4;"Dzwonek";"Detractor";1;0;0;1
"734";"Wyższe";"Agronom ekspert";"50.01 - 100 ha";"31 - 40";8;"Dzwonek";"Neutral";0;1;0;1
"735";"Wyższe rolnicze";"Inna";"więcej niż 250 ha";"51 - 60";1;"Dzwonek";"Detractor";1;0;0;1
"736";"Wyższe";"Pracownik techniczny";"więcej niż 250 ha";"51 - 60";6;"Dzwonek";"Detractor";1;0;0;1
